Words,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,mean,std,%unknown
superieur,4,4,1,1,4,2,6,7,4,5,2,3,5,4,4,6,5,3,6,3,3.95,1.67,0
syntactisch,1,NaN,NaN,6,1,NaN,2,NaN,NaN,NaN,NaN,4,NaN,3,4,2,3,2,7,5,3.33,1.92,0.4
taai,3,6,7,3,4,7,4,2,5,6,7,6,6,4,4,3,6,5,5,5,4.90,1.48,0
talrijk,6,1,4,6,5,5,3,6,4,4,2,4,3,1,1,2,2,5,3,6,3.65,1.76,0
tam,3,6,6,3,4,7,3,3,6,5,6,3,2,6,2,6,4,7,4,5,4.55,1.64,0
technisch,6,5,7,6,5,5,5,7,5,5,3,6,4,2,4,5,6,5,4,6,5.05,1.23,0
teder,4,3,6,5,4,3,4,2,7,5,7,5,4,5,3,3,6,5,4,4,4.45,1.36,0
teer,2,5,2,1,4,2,5,4,3,2,3,7,5,5,5,4,3,4,6,2,3.70,1.59,0
tegengesteld,6,3,6,3,5,7,7,4,6,7,7,2,4,6,4,7,2,6,4,5,5.05,1.70,0
tenger,4,3,4,6,4,4,5,2,6,7,6,6,6,NaN,5,6,7,7,4,5,5.11,1.41,0.05
tevreden,3,5,2,1,1,3,5,7,3,6,3,4,5,4,4,5,2,5,5,4,3.85,1.60,0
theologisch,5,2,2,6,4,3,6,2,5,5,4,6,4,7,4,5,5,1,5,4,4.25,1.59,0
toegewijd,6,6,7,4,4,2,5,5,4,4,3,4,6,5,3,4,5,3,3,5,4.40,1.27,0
toekomstig,4,3,2,4,6,7,3,2,4,4,2,3,3,2,3,7,6,2,1,5,3.65,1.76,0
toenmalig,6,5,2,1,1,3,6,3,5,4,7,6,5,4,6,6,5,7,6,2,4.50,1.91,0
toevallig,4,5,3,1,1,5,6,7,4,1,2,2,5,6,6,1,4,7,6,1,3.85,2.18,0
totaal,3,6,3,1,1,1,7,1,6,7,6,4,5,6,5,6,5,7,3,7,4.50,2.21,0
traag,6,6,4,4,5,2,5,5,6,4,3,5,3,3,1,5,6,6,1,4,4.20,1.61,0
traditioneel,2,6,7,5,7,6,4,1,6,6,7,4,4,4,5,2,5,4,1,6,4.60,1.90,0
treurig,4,6,6,6,4,3,5,2,5,7,7,7,6,6,4,7,6,5,5,5,5.30,1.38,0
triest,3,5,6,2,5,3,5,7,4,6,6,5,5,4,4,4,2,4,5,5,4.50,1.32,0
troebel,2,4,3,1,5,2,5,5,4,5,4,3,5,4,6,6,5,5,5,2,4.05,1.43,0
tropisch,6,6,4,6,3,2,6,4,6,4,7,2,5,4,4,3,4,5,5,6,4.60,1.43,0
trots,2,7,6,5,4,4,6,2,7,6,7,2,6,5,4,6,6,7,6,7,5.25,1.71,0
trouw,4,2,6,4,4,4,5,7,6,6,7,7,6,5,6,7,7,4,6,4,5.35,1.42,0
tuttig,5,2,5,6,4,1,6,2,3,6,5,6,4,4,1,6,7,7,5,5,4.50,1.85,0
tweede,3,7,7,7,7,3,7,7,5,7,7,7,7,6,7,7,6,7,6,7,6.35,1.27,0
tweedehands,7,7,5,7,7,5,7,3,5,7,4,7,7,1,6,5,3,6,6,7,5.60,1.73,0
twijfelachtig,7,6,5,5,5,6,2,3,5,5,3,3,2,1,1,2,4,4,4,4,3.85,1.69,0
typisch,2,5,4,1,4,4,6,7,4,4,5,1,5,3,4,7,4,3,5,1,3.95,1.76,0
uitbundig,2,5,3,1,4,3,5,7,3,6,4,4,5,4,5,2,4,5,6,4,4.10,1.48,0
uiterlijk,1,6,3,6,7,5,6,4,5,4,7,5,7,4,6,6,5,7,4,1,4.95,1.79,0
uitgestrekt,4,6,7,4,4,6,6,7,5,3,3,3,7,3,4,4,3,2,1,2,4.20,1.79,0
uitsluitend,3,7,6,1,3,3,5,4,6,6,6,4,5,5,4,2,2,7,7,7,4.65,1.87,0
uitstekend,4,7,5,4,4,2,1,5,5,4,3,3,4,4,4,4,5,3,2,6,3.95,1.39,0
uitvoerig,2,5,4,1,4,2,5,4,4,5,3,5,5,5,4,2,3,6,6,4,3.95,1.39,0
uitzonderlijk,7,6,5,4,4,6,1,4,6,4,3,2,2,1,1,2,5,7,3,3,3.80,1.96,0
uniek,5,6,6,3,4,5,5,7,7,4,7,5,4,7,3,6,5,7,4,7,5.35,1.39,0
universeel,2,7,5,4,7,6,6,4,3,7,2,5,2,3,6,2,7,3,5,6,4.60,1.88,0
urenlang,5,6,7,5,5,7,7,5,5,3,1,6,1,2,3,6,3,4,5,6,4.60,1.88,0
vaag,2,2,1,6,4,1,1,3,3,3,NaN,5,3,1,2,5,2,3,2,4,2.79,1.47,0.05
vaal,NaN,2,NaN,NaN,4,1,2,2,2,NaN,5,4,5,NaN,2,3,7,NaN,NaN,5,3.38,1.76,0.35
vaderlands,5,5,6,6,6,4,5,2,6,6,7,6,6,2,6,7,1,7,6,3,5.10,1.77,0
vals,4,4,2,1,4,4,5,7,3,5,2,3,5,4,4,6,2,3,4,3,3.75,1.45,0
vast,3,5,2,1,4,2,5,3,5,5,7,4,5,5,4,6,2,4,3,3,3.90,1.52,0
veel,7,1,5,1,3,5,2,5,6,5,1,2,1,1,1,2,2,5,2,1,2.90,2.02,0
veeleisend,5,5,4,4,5,4,4,6,7,5,3,5,5,5,5,4,7,3,5,4,4.75,1.07,0
veilig,5,4,5,4,5,7,4,7,5,4,5,4,3,4,4,6,5,2,4,5,4.60,1.19,0
venijnig,3,3,7,5,4,5,6,3,5,7,5,6,4,5,3,4,7,5,4,5,4.80,1.32,0
ver,3,2,4,2,4,5,3,3,6,4,7,3,2,6,3,4,5,7,4,4,4.05,1.54,0
verantwoordelijk,5,5,6,1,7,4,5,7,4,5,6,3,5,5,5,5,4,6,3,4,4.75,1.41,0
verbluffend,5,6,5,5,5,4,2,3,4,4,2,2,3,1,3,2,2,3,3,4,3.40,1.35,0
verborgen,5,4,1,3,5,4,6,2,5,4,6,5,4,3,2,6,4,5,1,5,4.00,1.56,0
verder,4,4,5,1,4,6,2,7,7,2,2,3,1,1,1,5,1,5,1,6,3.40,2.16,0
verdragend,5,3,7,5,4,7,5,2,5,5,7,3,3,5,2,7,6,5,5,4,4.75,1.59,0
verdrietig,4,5,7,3,7,2,4,1,5,4,6,6,7,2,3,5,3,3,1,6,4.20,1.94,0
verenigd,3,5,7,4,6,2,3,4,4,5,5,3,5,4,5,2,6,4,1,6,4.20,1.54,0
verfijnd,6,7,4,4,3,4,6,3,5,3,4,5,3,3,4,3,3,7,3,5,4.25,1.37,0
vergeefs,2,6,5,1,5,3,5,7,4,4,5,2,5,4,5,1,2,5,5,7,4.15,1.79,0
vergelijkbaar,4,4,6,4,3,5,4,3,7,4,7,5,4,2,6,5,4,7,6,3,4.65,1.46,0
verheugd,NaN,6,7,3,4,3,6,5,3,3,6,5,2,3,4,4,5,3,1,5,4.11,1.56,0.05
verkeerd,3,5,5,1,7,3,6,7,5,6,3,2,5,4,4,6,4,5,6,3,4.50,1.64,0
verkouden,4,7,7,7,4,7,7,7,7,7,7,7,6,6,5,7,7,7,6,7,6.45,1.00,0
verlegen,6,5,7,4,6,5,5,4,4,4,3,5,7,3,4,7,2,2,1,5,4.45,1.70,0
verlicht,3,3,2,4,4,4,6,6,6,6,4,1,3,1,2,4,5,5,2,6,3.85,1.69,0
vermaard,3,4,4,1,1,2,NaN,6,NaN,NaN,NaN,NaN,5,NaN,4,NaN,NaN,NaN,4,3,3.36,1.57,0.45
verminderd,6,6,5,3,5,3,2,2,7,1,3,2,2,2,1,4,1,1,1,7,3.20,2.09,0
vermoeiend,7,7,6,5,4,7,3,7,5,5,2,4,5,2,3,5,6,5,3,5,4.80,1.61,0
verrast,5,6,6,4,4,4,7,2,7,5,7,6,4,4,3,5,5,7,5,4,5.00,1.41,0
verrot,6,6,3,6,3,4,6,3,5,6,1,5,3,5,5,6,7,7,5,3,4.75,1.62,0
vers,6,6,6,6,5,4,3,5,5,6,7,5,2,3,5,5,7,7,5,5,5.15,1.35,0
verschillend,5,3,7,4,7,7,6,2,4,5,3,4,6,4,3,3,4,2,1,2,4.10,1.80,0
verschrikkelijk,6,3,5,4,3,5,2,3,7,3,2,5,3,3,6,2,2,3,4,5,3.80,1.51,0
versleten,4,6,7,6,4,7,3,5,7,7,7,3,4,6,2,4,7,6,4,5,5.20,1.61,0
verspreid,4,5,7,5,5,3,6,2,3,5,1,5,5,4,4,2,3,2,1,4,3.80,1.64,0
verstaanbaar,5,7,7,5,1,7,6,2,7,7,7,7,4,6,5,5,7,7,5,4,5.55,1.76,0
verstandig,2,4,1,1,6,4,5,7,5,5,4,3,5,4,4,5,2,2,3,6,3.90,1.68,0
vertrouwd,4,5,6,6,4,3,5,2,7,6,7,6,4,4,5,6,6,6,5,5,5.10,1.29,0
vertrouwelijk,4,4,6,6,5,5,4,4,4,6,5,5,4,3,3,5,4,6,3,7,4.65,1.14,0
vervelend,4,4,7,4,6,4,4,2,4,5,1,6,4,3,4,6,3,2,1,4,3.90,1.62,0
verwant,7,7,6,7,5,6,4,3,7,2,NaN,4,7,1,3,5,3,4,3,6,4.74,1.91,0.05
verward,5,6,6,5,4,4,3,3,6,7,7,7,4,4,3,5,5,5,4,4,4.85,1.31,0
verwonderd,4,2,7,6,4,4,4,2,6,6,7,2,4,6,2,6,6,6,5,7,4.80,1.77,0
verwonderlijk,4,3,5,6,4,3,6,3,6,4,7,6,4,4,3,5,5,5,5,4,4.60,1.19,0
verzorgd,6,7,4,5,5,5,3,2,7,5,6,5,5,2,5,5,4,7,5,5,4.90,1.41,0
vet,5,5,1,7,5,1,2,3,7,7,4,3,2,3,1,4,2,7,1,3,3.65,2.16,0
vettig,4,5,7,4,7,5,6,4,5,5,3,5,6,6,1,4,4,3,1,6,4.55,1.67,0
vierde,6,7,7,7,7,3,7,7,7,7,7,7,7,6,7,7,7,4,7,7,6.55,1.10,0
vierkant,5,7,2,5,7,7,7,7,7,7,7,5,7,7,6,5,7,7,7,7,6.30,1.30,0
vies,4,6,7,3,4,7,3,4,7,6,7,3,5,5,4,4,7,7,5,7,5.25,1.55,0
vijfde,6,7,7,7,7,6,7,7,5,7,7,7,7,6,7,7,6,7,6,7,6.65,0.59,0
vinnig,5,3,6,6,4,3,2,2,4,6,5,3,4,3,3,4,4,5,5,5,4.10,1.25,0
violet,7,7,4,7,6,6,6,7,5,3,7,6,7,6,5,6,7,5,7,6,6.00,1.12,0
visueel,4,3,6,4,5,4,4,3,6,6,5,6,5,5,2,5,4,6,4,5,4.60,1.14,0
vitaal,3,6,4,2,3,3,6,3,6,6,7,3,5,4,4,4,4,4,4,NaN,4.26,1.37,0.05
vlak,3,6,6,1,3,2,3,2,6,7,4,5,5,5,5,5,5,6,4,4,4.35,1.60,0
vlot,4,4,5,1,2,4,5,2,3,4,5,2,5,5,5,6,3,2,5,3,3.75,1.41,0
vluchtig,3,6,6,3,4,5,2,2,7,5,7,1,4,4,3,3,5,7,5,4,4.30,1.75,0
vlug,2,6,3,3,3,3,5,4,3,6,5,3,5,4,4,6,4,5,6,5,4.25,1.25,0
vochtig,5,6,5,4,4,6,6,4,5,7,7,6,5,5,6,5,5,7,6,7,5.55,1.00,0
vol,3,3,2,6,6,2,5,3,3,6,3,4,6,2,5,5,6,7,5,6,4.40,1.64,0
voldoend,4,2,7,3,4,2,6,2,4,3,5,2,3,4,2,2,1,2,3,5,3.30,1.56,0
voldoende,4,6,5,4,5,4,1,3,3,3,3,2,3,1,3,2,3,1,2,4,3.10,1.37,0
volkomen,3,4,7,4,4,1,7,2,2,3,1,3,5,3,2,1,3,2,1,6,3.20,1.88,0
volks,NaN,4,7,5,6,1,4,2,7,5,5,5,3,5,2,4,3,3,1,3,3.95,1.78,0.05
volledig,5,7,6,2,7,7,7,5,7,7,7,1,5,6,6,4,5,7,4,4,5.45,1.76,0
voluptueus,2,7,4,NaN,NaN,5,4,7,1,4,NaN,2,3,NaN,4,4,5,NaN,4,5,4.07,1.67,0.25
volwassen,5,5,5,1,3,4,5,2,5,7,1,3,5,4,5,7,5,1,3,7,4.15,1.90,0
voorafgaand,4,6,2,1,4,2,5,7,4,3,6,7,5,4,2,2,6,5,7,7,4.45,1.96,0
voorbereid,4,6,5,3,6,3,7,4,5,6,6,3,5,4,4,6,3,6,4,3,4.65,1.31,0
voorbij,5,5,4,7,7,6,2,4,7,3,2,1,1,1,5,6,3,5,5,3,4.10,2.02,0
voormalig,5,3,7,3,4,7,5,2,4,4,4,3,4,5,3,5,2,1,4,5,4.00,1.52,0
voorst,NaN,1,NaN,4,NaN,5,5,2,2,NaN,NaN,2,5,2,1,5,NaN,NaN,NaN,4,3.17,1.64,0.4
voortreffelijk,2,4,7,3,6,2,5,5,5,4,1,6,1,2,2,2,3,1,1,5,3.35,1.93,0
voorzichtig,5,5,7,4,4,5,3,6,5,3,5,4,5,5,4,6,5,4,4,3,4.60,1.05,0
vorig,5,7,4,1,4,3,6,7,7,3,6,7,5,4,4,NaN,6,1,6,7,4.89,1.94,0.05
vredig,4,4,6,4,4,6,4,1,6,4,3,5,6,2,3,6,3,3,3,4,4.05,1.43,0
vreemd,1,4,2,1,4,2,5,7,3,2,2,1,5,3,4,4,1,4,5,1,3.05,1.73,0
vriendelijk,6,6,3,5,5,6,3,7,6,5,7,5,3,5,3,6,6,3,3,4,4.85,1.42,0
vrij,5,5,6,3,5,2,3,1,7,6,1,3,2,4,3,2,5,3,1,2,3.45,1.82,0
vrijmoedig,3,4,7,3,4,4,3,4,3,4,2,3,1,3,3,4,3,3,1,3,3.25,1.25,0
vroeg,6,6,5,4,4,4,3,7,6,6,3,5,3,1,2,5,2,4,2,4,4.10,1.65,0
vroeger,4,5,7,4,7,3,6,5,5,4,2,3,1,2,3,6,7,5,1,5,4.25,1.89,0
vrolijk,5,6,7,6,4,7,3,2,7,7,7,6,6,6,3,6,6,7,6,7,5.70,1.53,0
vroom,5,4,6,4,3,7,5,2,3,4,4,4,4,2,5,4,4,3,5,4,4.10,1.21,0
vrouwelijk,7,7,3,5,5,4,3,7,6,5,5,5,4,5,6,5,7,4,7,6,5.30,1.30,0
vuil,5,2,7,6,4,7,7,3,7,7,7,7,5,6,4,6,7,7,6,7,5.85,1.53,0
vurig,NaN,6,7,4,3,5,7,5,4,7,2,5,6,5,5,3,3,3,1,5,4.53,1.71,0.05
waar,6,6,2,4,5,1,5,5,5,7,7,1,4,5,2,5,1,4,2,7,4.20,2.04,0
waarachtig,NaN,5,NaN,4,3,NaN,6,1,3,4,3,3,2,2,3,2,3,2,1,4,3.00,1.32,0.15
waard,4,4,7,4,4,2,3,5,5,7,6,5,3,4,5,5,1,7,5,4,4.50,1.57,0
waardeloos,5,1,5,5,5,7,3,3,5,3,2,2,1,4,4,2,2,4,3,5,3.55,1.61,0
waardevol,5,6,6,5,6,4,3,3,4,3,2,4,4,3,4,4,3,4,4,4,4.05,1.10,0
waarschijnlijk,7,6,5,4,3,2,2,2,6,3,4,3,2,1,2,2,1,5,4,5,3.45,1.76,0
wagenwijd,2,5,7,4,4,2,6,2,7,5,NaN,4,2,3,1,2,3,1,1,5,3.47,1.95,0.05
wakker,6,6,6,6,7,6,7,5,7,5,2,5,7,2,4,4,2,6,4,7,5.20,1.70,0
walgelijk,4,5,7,6,3,7,5,5,7,7,6,5,5,6,2,4,6,7,3,5,5.25,1.48,0
warm,3,6,7,5,4,7,6,3,6,7,7,5,5,6,4,7,6,7,6,7,5.70,1.34,0
waterig,7,7,4,7,4,5,5,7,7,5,3,3,4,2,1,2,7,4,3,6,4.65,1.95,0
wazig,5,4,7,4,4,3,6,1,5,3,4,5,3,2,3,3,3,3,1,6,3.75,1.59,0
weids,NaN,2,4,2,4,3,4,3,NaN,4,5,2,4,2,3,4,NaN,NaN,NaN,4,3.33,0.98,0.25
weinig,5,1,5,4,4,4,3,6,5,4,4,2,2,1,3,2,2,5,2,4,3.40,1.47,0
wekenlang,4,3,5,6,4,1,5,7,7,7,7,4,4,5,2,7,5,7,5,5,5.00,1.75,0
welingelicht,NaN,5,7,3,5,6,6,5,5,4,7,5,5,2,3,1,3,2,1,4,4.16,1.83,0.05
welkom,2,5,7,5,7,7,5,4,6,2,1,5,2,2,2,3,5,2,1,6,3.95,2.09,0
welluidend,2,3,2,6,4,1,5,2,2,4,5,6,4,3,4,2,5,2,4,4,3.50,1.47,0
wenselijk,5,4,2,4,4,3,4,6,4,5,3,4,4,3,3,5,4,5,3,3,3.90,0.97,0
werkelijk,2,4,7,6,4,6,6,5,5,5,1,3,7,2,4,5,4,2,1,6,4.25,1.89,0
westelijk,3,3,5,7,5,1,5,2,5,7,5,3,4,6,4,6,6,7,7,7,4.90,1.80,0
wetenschappelijk,7,7,5,7,7,4,6,6,7,5,7,5,6,3,6,6,3,4,6,5,5.60,1.31,0
wijd,2,6,6,3,4,6,3,2,6,4,5,3,5,3,5,4,5,5,4,4,4.25,1.29,0
wijs,3,5,7,3,4,6,4,3,6,7,5,3,4,6,3,5,7,7,3,5,4.80,1.54,0
wild,3,3,7,3,4,7,5,2,7,7,7,5,6,6,3,7,5,5,6,5,5.15,1.66,0
winderig,5,3,3,7,1,5,5,2,6,6,5,6,2,4,6,6,6,4,4,5,4.55,1.64,0
winters,6,1,3,6,5,3,4,6,6,6,6,2,3,2,6,5,7,1,6,6,4.50,1.93,0
wiskundig,5,2,7,2,4,7,2,4,6,6,7,7,5,6,5,5,1,7,6,7,5.05,1.96,0
wisselvallig,3,2,4,4,4,5,4,2,5,6,3,4,2,2,4,4,6,2,4,4,3.70,1.26,0
wit,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,6.65,1.35,0
witheet,4,4,2,7,3,3,6,1,NaN,4,1,NaN,3,1,7,NaN,6,3,7,5,3.94,2.11,0.15
woedend,5,6,7,2,7,2,6,5,5,6,4,6,7,4,3,6,4,3,5,6,4.95,1.57,0
woest,2,6,5,3,6,5,5,7,4,7,6,2,5,4,5,5,3,3,6,5,4.70,1.49,0
wollig,6,5,4,5,3,6,7,5,4,6,5,5,2,2,5,5,7,2,5,7,4.80,1.58,0
wrang,2,5,2,1,1,3,5,5,NaN,5,NaN,NaN,5,4,4,3,2,5,3,3,3.41,1.46,0.15
wreed,4,3,7,3,3,7,7,2,6,6,6,4,4,6,3,4,6,5,4,5,4.75,1.55,0
zacht,6,7,3,4,6,6,5,5,6,5,5,3,3,2,2,7,3,6,2,5,4.55,1.67,0
zat,5,5,7,3,7,6,5,5,6,6,7,6,7,5,5,7,3,2,1,6,5.20,1.74,0
zedelijk,3,5,6,4,6,NaN,6,1,4,2,5,5,1,3,3,5,3,2,5,5,3.89,1.63,0.05
zedig,3,4,7,5,4,7,6,5,4,4,7,4,1,4,3,6,3,3,1,4,4.25,1.74,0
zeer,5,5,3,4,5,2,2,7,5,2,3,2,5,1,2,7,1,4,2,3,3.50,1.82,0
zeker,2,4,7,3,5,1,6,2,4,5,1,4,2,4,3,2,4,3,1,6,3.45,1.76,0
zeldzaam,6,6,4,5,5,7,3,6,5,3,3,7,3,5,5,6,6,5,5,6,5.05,1.28,0
zelfstandig,7,3,5,5,5,6,2,4,5,4,3,4,5,4,5,4,3,2,5,6,4.35,1.31,0
zelfverzekerd,4,4,2,5,6,7,4,7,6,6,3,7,5,5,4,4,4,3,4,4,4.70,1.42,0
zenuwachtig,6,7,5,5,6,3,2,4,5,4,2,4,3,4,4,4,5,3,4,5,4.25,1.29,0
zesde,6,7,7,7,7,6,7,7,5,7,7,7,7,6,7,7,6,7,6,7,6.65,0.59,0
zevende,4,7,7,5,7,7,7,7,7,6,5,6,1,4,1,6,7,7,1,7,5.45,2.16,0
zichtbaar,2,6,6,2,5,4,5,7,6,7,7,5,5,4,6,6,5,7,6,6,5.35,1.46,0
ziek,7,6,7,3,7,2,7,4,6,6,1,6,7,3,4,6,7,3,1,4,4.85,2.11,0
ziekelijk,3,5,7,3,4,4,4,1,5,4,2,5,5,2,5,4,3,1,1,3,3.55,1.61,0
zielig,5,3,5,6,4,4,6,3,6,6,7,2,4,6,4,2,7,7,5,4,4.80,1.58,0
zilver,7,7,3,7,5,7,7,7,7,6,7,6,5,6,4,5,7,2,6,7,5.90,1.48,0
zilveren,5,6,6,5,7,7,7,7,7,7,7,7,7,6,5,6,6,7,7,7,6.45,0.76,0
zindelijk,4,6,7,5,5,7,4,5,4,4,7,4,1,5,5,2,6,2,5,5,4.65,1.63,0
zinloos,5,5,4,1,3,3,5,4,4,2,1,1,5,5,5,6,6,6,7,2,4.00,1.84,0
zoet,4,6,4,1,4,4,5,5,5,7,6,6,5,4,4,6,2,6,5,5,4.70,1.42,0
zomers,7,5,4,5,3,3,4,6,6,6,7,2,5,2,6,5,7,2,6,6,4.85,1.69,0
zondig,3,4,2,1,4,1,5,1,3,5,3,3,5,4,3,3,3,5,3,1,3.10,1.37,0
zonneklaar,4,4,2,NaN,NaN,5,2,1,NaN,5,4,NaN,4,2,4,5,6,2,4,NaN,3.60,1.45,0.25
zonnig,3,2,7,5,7,6,6,7,6,6,7,6,3,4,3,7,6,3,1,6,5.05,1.90,0
zorgzaam,5,5,3,1,4,5,5,7,3,6,4,4,5,4,3,3,4,6,5,5,4.35,1.35,0
zout,7,7,5,6,6,3,4,7,6,7,4,7,7,3,7,4,7,7,7,6,5.85,1.46,0
zuidelijk,2,2,5,7,6,5,4,7,6,6,3,6,7,2,4,7,4,6,4,7,5.00,1.78,0
zuinig,NaN,5,7,5,7,2,3,1,4,4,4,6,6,3,4,6,2,2,1,5,4.05,1.90,0.05
zuiver,2,6,3,1,4,1,5,2,3,6,6,6,5,4,5,5,3,4,4,1,3.80,1.74,0
zuur,2,5,2,2,2,2,5,3,5,7,6,4,5,5,3,6,5,4,4,3,4.00,1.56,0
zwaar,1,7,7,2,1,7,2,4,7,7,7,2,4,3,5,6,7,7,5,5,4.80,2.26,0
zwak,4,4,2,4,3,7,4,7,3,4,3,5,5,4,4,5,1,1,4,4,3.90,1.55,0
zwanger,7,7,7,6,7,7,7,7,7,7,7,5,6,6,6,7,7,7,5,7,6.60,0.68,0
zwart,2,2,3,7,7,7,5,7,7,7,2,7,7,2,7,7,7,7,7,7,5.70,2.13,0
zwijgzaam,3,4,5,2,2,6,6,5,4,6,5,6,5,4,3,5,4,7,4,2,4.40,1.47,0
zwoel,7,4,4,5,2,4,4,1,4,4,2,4,1,4,3,5,5,2,5,3,3.65,1.50,0